"paper_id","source_type","relative_path","filename","sha256","bytes"
"11","manual","pdfs/manual/original_001_100/11-2018-磁电耦合达到mv解释可以参考-Journal of Crystal Growth-浮区熔化制备的相纯共晶CoFe2O4-Ba1xSrxTiO3复合材料-Phase-pure eutectic CoFe2O4-Ba1-xSrxTiO3 composites prepared by.pdf","11-2018-磁电耦合达到mv解释可以参考-Journal of Crystal Growth-浮区熔化制备的相纯共晶CoFe2O4-Ba1xSrxTiO3复合材料-Phase-pure eutectic CoFe2O4-Ba1-xSrxTiO3 composites prepared by.pdf","b7cd7a3fb7293242c0572ef541a8b3cb8cd272181976e59f8610d1f343bd21f2","2686190"
"12","manual","pdfs/manual/original_001_100/12-CrMn共掺杂铁酸铋钛酸钡固溶体-2022-J Mater Sci Mater Electron.pdf","12-CrMn共掺杂铁酸铋钛酸钡固溶体-2022-J Mater Sci Mater Electron.pdf","8355ff3bb1678eb80e8a33232e0a7097fa6368f60060dedd9f7769fe27de6cda","2742614"
"13","manual","pdfs/manual/original_001_100/13-Nb掺杂-2024-提高BaTiO3CoNb0.02Fe1.98O4复合系统的介电、磁性、铁电和磁电耦合性能.pdf","13-Nb掺杂-2024-提高BaTiO3CoNb0.02Fe1.98O4复合系统的介电、磁性、铁电和磁电耦合性能.pdf","9ccf2f458d32df6e1a489c95f60ab6b4c727f0b81599f368813c9e0b9a0584a7","13151647"
"14","manual","pdfs/manual/original_001_100/14-Bi0⋅9La0⋅1FeO3SrCoO3新组合-2024-JMRT-Rapid switching capability and efficient magnetoelectric coupling mediated.pdf","14-Bi0⋅9La0⋅1FeO3SrCoO3新组合-2024-JMRT-Rapid switching capability and efficient magnetoelectric coupling mediated.pdf","3a89a26d1509a6a1714aeec4582e50b2d1f0d6f4cd6bea1d45b6efa32f99cf00","7590660"
"15","manual","pdfs/manual/original_001_100/15-BFO、BCTO Mn掺杂-2020-JAP--Improved ferroelectric, piezoelectric, and magnetic.pdf","15-BFO、BCTO Mn掺杂-2020-JAP--Improved ferroelectric, piezoelectric, and magnetic.pdf","082cfd0f8d1cdc7219200e71bbad1e7465ab5aadc1253c9c25319f0111712b50","3977889"
"16","manual","pdfs/manual/original_001_100/16-三项复合多铁2021-JAC-A neoteric tri-phase composite with efficient magneto-electric and multifunctional response.pdf","16-三项复合多铁2021-JAC-A neoteric tri-phase composite with efficient magneto-electric and multifunctional response.pdf","9ecbcd400caef15a783baa5e7653e88a48783136ba665c8fd48bf0794534207f","16377569"
"17","manual","pdfs/manual/original_001_100/17-top-俩顺电产生磁电耦合-2022-acs nano-interface-driven-multiferroicity-in-cubic-batio3-srtio3-nanocomposites.pdf","17-top-俩顺电产生磁电耦合-2022-acs nano-interface-driven-multiferroicity-in-cubic-batio3-srtio3-nanocomposites.pdf","66811ab0136f879522b19a54ce481ca7254ee0910d45e470d938aea364ebabf0","9988781"
"18","manual","pdfs/manual/original_001_100/18-磷酸键合无烧结2022-JAC-Magnetoelectric coupling in nonsintered bulk BaTiO3 – xCoFe2O4.pdf","18-磷酸键合无烧结2022-JAC-Magnetoelectric coupling in nonsintered bulk BaTiO3 – xCoFe2O4.pdf","100efb84d9119b9cf124d3bb1422b0878545871cd793ec6cd7c647e200c48812","4867955"
"19","manual","pdfs/manual/original_001_100/19-高压扭转-2022-Adv Funct Materials - Novel Multiferroic‐Like Nanocomposite with High Pressure‐Modulated Magnetic and.pdf","19-高压扭转-2022-Adv Funct Materials - Novel Multiferroic‐Like Nanocomposite with High Pressure‐Modulated Magnetic and.pdf","a4d5f50c8133ec3c5bb9988837f903f80bc253486bbdfbf51188127197b415dd","4493220"
"20","manual","pdfs/manual/original_001_100/20-三元复合-2022-Mater S Proce-A suitable platform for simultaneous improvement of multiferroic characteristics.pdf","20-三元复合-2022-Mater S Proce-A suitable platform for simultaneous improvement of multiferroic characteristics.pdf","91f03fa76d301bf0c2388c46c454633c8609e184cd37e1ebaef5c858e830fa35","3813205"
"21","manual","pdfs/manual/original_001_100/21-薄膜无耦合-2022-欧陶-Suppressing the nonswitching contribution in BiFeO3-Bi4Ti3O12 ehavior.pdf","21-薄膜无耦合-2022-欧陶-Suppressing the nonswitching contribution in BiFeO3-Bi4Ti3O12 ehavior.pdf","c5dd10b2c81f3f8462be84d946e5c1a4d7853cc20ef2863c0835b005e46bf3e2","13314838"
"22","manual","pdfs/manual/original_001_100/22-三相复合-2022-陶瓷国际-Significant impact of spinel ferrites in evolution of magneto-electric coupling in novel tri-phase composites.pdf","22-三相复合-2022-陶瓷国际-Significant impact of spinel ferrites in evolution of magneto-electric coupling in novel tri-phase composites.pdf","df231c75e667092dcaab90e2173cb04d5f38f4ca3a2625507532e6dfe6677f02","7670575"
"23","manual","pdfs/manual/original_001_100/23-铁电复合材料成分的软混合和硬混合2023-APA-Magnetoelectric properties of multiferroic ceramic composites.pdf","23-铁电复合材料成分的软混合和硬混合2023-APA-Magnetoelectric properties of multiferroic ceramic composites.pdf","1dbc9a68b85846c1e9251a35f13c12a9337720110742144cc11dacd1bfcc3f32","6825997"
"24","manual","pdfs/manual/original_001_100/24-三相复合临界-2023-Applied Physics Letters-Enhanced electric field control of magnetism in ternary.pdf","24-三相复合临界-2023-Applied Physics Letters-Enhanced electric field control of magnetism in ternary.pdf","532b43cb161178ed876c37c9a7920959183db736de1253e69f625fb4cd2ea6aa","3097344"
"25","manual","pdfs/manual/original_001_100/25-Nd掺杂磁电耦合不对-2023-JAC-钕（Nd）掺杂BiFeO3-PbTiO3固溶体的储能和磁电耦合.pdf","25-Nd掺杂磁电耦合不对-2023-JAC-钕（Nd）掺杂BiFeO3-PbTiO3固溶体的储能和磁电耦合.pdf","ffcb831eb3ee603855e1cc6957fa3dc286fb54c22d7a6e031bf6e42a88541e2f","8289986"
"26","manual","pdfs/manual/original_001_100/26-2023-JAC-Grain size and piezoelectric effect on magnetoelectric coupling in BFO_PZT perovskite-perovskite composites.pdf","26-2023-JAC-Grain size and piezoelectric effect on magnetoelectric coupling in BFO_PZT perovskite-perovskite composites.pdf","0a7e0c61e12d76e16d27a4fd2107e7270a501bcb2ebbbe2187c8b0a44449914e","8870519"
"27","manual","pdfs/manual/original_001_100/27-0.65BiFeO3–0.35[(1−x)Bi0.5K0.5TiO3−xBaTiO3)固溶体-2023-J Mater Sci Mater Electron.pdf","27-0.65BiFeO3–0.35[(1−x)Bi0.5K0.5TiO3−xBaTiO3)固溶体-2023-J Mater Sci Mater Electron.pdf","c678fa85487217d681c66a4e008d7bc4c7bd78195f15fcfd0192b223f3e521cd","6876049"
"28","manual","pdfs/manual/original_001_100/28-2023-Acta Mater-Control of magnetism at low electric fields in multiferroic 0.58BiFeO3–0.42Bi0.5K0.5TiO3  near morphotropic phase boundary.pdf","28-2023-Acta Mater-Control of magnetism at low electric fields in multiferroic 0.58BiFeO3–0.42Bi0.5K0.5TiO3  near morphotropic phase boundary.pdf","418a7d73d29925a3cbda3570149665b9200185bb9c550d379fc57bc61502e714","2990633"
"29","manual","pdfs/manual/original_001_100/29-(1-y)BiFe1-xCrxO3-yBaTi1-xMnxO3固溶体-2023-美陶- Lattice‐mediated room temperature magnetoelectric effect in  1‐y.pdf","29-(1-y)BiFe1-xCrxO3-yBaTi1-xMnxO3固溶体-2023-美陶- Lattice‐mediated room temperature magnetoelectric effect in  1‐y.pdf","70f9c2e4a611e7231a25e95c09fab7fbca51b9588045dbbf3c1148302887a883","6251105"
"30","manual","pdfs/manual/original_001_100/30-Shahid Atiq三相复合-2023-JAC-Optimization of magnetoelectric coupling in BiFeO3-BaTiO3-MnFe2O4 tri-phase composites for ultra-sensitive devices.pdf","30-Shahid Atiq三相复合-2023-JAC-Optimization of magnetoelectric coupling in BiFeO3-BaTiO3-MnFe2O4 tri-phase composites for ultra-sensitive devices.pdf","5dd645cc02f12d1cfa931a90668f444a329e272762e72d76e1687ad156e2aadd","10130205"
"31","manual","pdfs/manual/original_001_100/31-没磁电耦合-2023-MMM-Investigation of BaTiO3_ Cu1-xMgxFe2O4 nano-multiferroic composites.pdf","31-没磁电耦合-2023-MMM-Investigation of BaTiO3_ Cu1-xMgxFe2O4 nano-multiferroic composites.pdf","4899b0316aae4e768965c2d6255e0f2c0a4eb82518b3a99dc573debe3b849fba","9869562"
"32","manual","pdfs/manual/original_001_100/32-没磁电耦合-2023-陶瓷国际-High piezoelectric-magnetic coupling in potassium-sodium niobate piezoelectric ceramics prepared by solution synthesis.pdf","32-没磁电耦合-2023-陶瓷国际-High piezoelectric-magnetic coupling in potassium-sodium niobate piezoelectric ceramics prepared by solution synthesis.pdf","0cb59d08cf8c58897710c1e437b17948490951fc6f35d8f5a184a60b3d960165","15010550"
"33","manual","pdfs/manual/original_001_100/33-共沉淀法-2023-陶瓷国际-Magnetoelectric coupling property of 0-3 type CoFe2O4-BaTiO3 nanocomposites.pdf","33-共沉淀法-2023-陶瓷国际-Magnetoelectric coupling property of 0-3 type CoFe2O4-BaTiO3 nanocomposites.pdf","764a8a6462f798f649ad4bf8f3ab4b1127afad4cc7d22b3ceb0cc26eac958f42","7014146"
"34","manual","pdfs/manual/original_001_100/34-Shahid Atiq三相复合-2023-陶瓷国际-Tunability of magnetoelectric coupling in BiFeO3oFe2O4 tri-phase composites for ultra-fast switching applications.pdf","34-Shahid Atiq三相复合-2023-陶瓷国际-Tunability of magnetoelectric coupling in BiFeO3oFe2O4 tri-phase composites for ultra-fast switching applications.pdf","ff02a3e40021db91110bd9d6d3186120dd5b82dee1b39bf88ddca419371afede","9517406"
"35","manual","pdfs/manual/original_001_100/35-Shahid Atiq三相复合-2023-陶瓷国际-Tunability of magnetoelectric coupling in perovskite_spinel-based triphasic multiferroic composites for multistate devices.pdf","35-Shahid Atiq三相复合-2023-陶瓷国际-Tunability of magnetoelectric coupling in perovskite_spinel-based triphasic multiferroic composites for multistate devices.pdf","10e765230b1bb9e6e65c1c2eecc37cb0b7593bffbe7d8277096404897ec03737","5276930"
"36","manual","pdfs/manual/original_001_100/36-important-2023-陶瓷国际-Magnetoelectric coupling optimization in lead-free Ba0.85Ca0.15Zr0.1Ti0.9O3 Ni0.5Zn0.5Fe2O4 nanocomposites.pdf","36-important-2023-陶瓷国际-Magnetoelectric coupling optimization in lead-free Ba0.85Ca0.15Zr0.1Ti0.9O3 Ni0.5Zn0.5Fe2O4 nanocomposites.pdf","c0ce85e3a7f7353c47575ed56b9665c786965806ef79aedc745a6a4ff61fe14a","9057928"
"37","manual","pdfs/manual/original_001_100/37-Shahid Atiq三相复合-2024-JAC.pdf","37-Shahid Atiq三相复合-2024-JAC.pdf","30032a512f03d841440518bff9a7903a6dbb54b9338639d15e660e2a827466e4","2204909"
"38","manual","pdfs/manual/original_001_100/38-Ga双掺杂-2023-揭示Ba0.95Sn0.05Ti0.95 Ga0.05O3-CoFe1.8Ga0.2O4颗粒多铁复合材料中的线性和双二次磁电耦合.pdf","38-Ga双掺杂-2023-揭示Ba0.95Sn0.05Ti0.95 Ga0.05O3-CoFe1.8Ga0.2O4颗粒多铁复合材料中的线性和双二次磁电耦合.pdf","e67c635e642e37b3911acc9441e1814a02d02bb85070c0a53d0becb76bc2dda8","17999854"
"39","manual","pdfs/manual/original_001_100/39-磁介电-2024-（Ni0.5Zn0.5Fe2O4）x[（Na0.5Bi0.5)0.7Ba0.3TiO3]1−x（x=0.3,0.5)纳米复合陶瓷的磁电性能制备及研究，用于磁场传感器应用.pdf","39-磁介电-2024-（Ni0.5Zn0.5Fe2O4）x[（Na0.5Bi0.5)0.7Ba0.3TiO3]1−x（x=0.3,0.5)纳米复合陶瓷的磁电性能制备及研究，用于磁场传感器应用.pdf","09b22675898864d99af41f63c450c5f3362ab68a771db996b4cb34d3a578673d","5370668"
"40","manual","pdfs/manual/original_001_100/40-微波下磁电耦合-2023-JMST-Magnetoelectric coupling at microwave frequencies observed in bismuth ferrite-based multiferroics at room temperature.pdf","40-微波下磁电耦合-2023-JMST-Magnetoelectric coupling at microwave frequencies observed in bismuth ferrite-based multiferroics at room temperature.pdf","84036f67abd971c2f6371c1070f42df1174a494f0837ea61e8c8f4306d43ab18","836818"
"41","manual","pdfs/manual/original_001_100/41-磁场电回线由第一性原理-2023-多铁NiO纳米复合材料低温磁性和磁电性能研究.pdf","41-磁场电回线由第一性原理-2023-多铁NiO纳米复合材料低温磁性和磁电性能研究.pdf","999f093636579cfba6e34d48cec0079372ee851c68af9d79084e0dc8128d8426","6079571"
"42","manual","pdfs/manual/original_001_100/42-低温核壳主要磁性能交换偏置-2023-JAC-Exchange bias studies of CoFe2O4 coated BiFeO3 nanoparticles.pdf","42-低温核壳主要磁性能交换偏置-2023-JAC-Exchange bias studies of CoFe2O4 coated BiFeO3 nanoparticles.pdf","26e256f2f4b55ae7e6f5e754bf40fdf7d8a7d7bfde1b26d488348fa9d3e403a0","9691203"
"43","manual","pdfs/manual/original_001_100/43-Shahid Atiq双相-2024-Rapid switching capability and efficient magnetoelectric coupling mediated.pdf","43-Shahid Atiq双相-2024-Rapid switching capability and efficient magnetoelectric coupling mediated.pdf","a2b42e7661a0fbe856afebfc78319af48ddbf2b948760e37fbc515471c0729ef","7590660"
"44","manual","pdfs/manual/original_001_100/44-磁电耦合解释-2012-Magneto electric effects in BaTiO3–CoFe2O4 bulk composites.pdf","44-磁电耦合解释-2012-Magneto electric effects in BaTiO3–CoFe2O4 bulk composites.pdf","b7be616a7146d39093dde767060d0605206032793c86aad13bf6101796f85d5a","673673"
"45","manual","pdfs/manual/original_001_100/45-2022-JMCC-Magnetoelectric behaviour of 0–3 Co-BaTiO3.pdf","45-2022-JMCC-Magnetoelectric behaviour of 0–3 Co-BaTiO3.pdf","0614d4b9236a5bb82f0bb030d88b5090e7d2aa36daadc074e00f4f2da50d12b4","2886813"
"46","manual","pdfs/manual/original_001_100/46-Co棒状和颗粒的影响-2024-jmcc-co BTO-Exchange bias mediated self-biased.pdf","46-Co棒状和颗粒的影响-2024-jmcc-co BTO-Exchange bias mediated self-biased.pdf","58b332c150ed31b6bad8b02fc2f49b5550ad8b9e0f64cc30863b40fec16b591a","5409556"
"47","manual","pdfs/manual/original_001_100/47-增强铁电-2023-AMT-Strengthening the ferroelectric properties in the three-component.pdf","47-增强铁电-2023-AMT-Strengthening the ferroelectric properties in the three-component.pdf","075c3db74cc2047cd85d243201d184b9d54a3c06ae47eb55c80597e9c3fa6894","11196167"
"48","manual","pdfs/manual/original_001_100/48-解释可以看-2024-3M-(Na0.41K0.09Bi0.5TiO3-Ba0.85Ca0.15Zr0.1Ti0.9O3)-(CoFe2O4).pdf","48-解释可以看-2024-3M-(Na0.41K0.09Bi0.5TiO3-Ba0.85Ca0.15Zr0.1Ti0.9O3)-(CoFe2O4).pdf","a0bbd4b12e5a5e211ae7eb40fa2d04390c6f0716b58b66863148cee1f892a907","10068763"
"49","manual","pdfs/manual/original_001_100/49-没磁电耦合-2017-APL- Bi(Fe,Ga)O3-(Ba,Ca)(Zr,Ti)O3.pdf","49-没磁电耦合-2017-APL- Bi(Fe,Ga)O3-(Ba,Ca)(Zr,Ti)O3.pdf","5eb39c2c3f8948ea5e1f5692f83a7927714c9a54e17f265fc238073c8ce95fed","1201126"
"50","manual","pdfs/manual/original_001_100/50-磁电滞回线Mn掺杂三相复合-2020-apl-BiFeO3–PbTiO3-DyFeO3复合.pdf","50-磁电滞回线Mn掺杂三相复合-2020-apl-BiFeO3–PbTiO3-DyFeO3复合.pdf","93097bd08224b42235e1416c783319398b789205b186699f89bb0888a6e6a013","2590032"
"51","manual","pdfs/manual/original_001_100/51-微波磁电耦合-2024-APL-Dynamic magnetoelectric effect in bismuth-layer structured.pdf","51-微波磁电耦合-2024-APL-Dynamic magnetoelectric effect in bismuth-layer structured.pdf","30ed54f1c95e0a6c157a932abf13858fbf81d5064d35100d1380d65a1ffe1b51","2354929"
"52","manual","pdfs/manual/original_001_100/52-铁电固溶体加铁磁-2024-sss-High magnetoelectric coupling in piezoelectric modified BNT and magnetic.pdf","52-铁电固溶体加铁磁-2024-sss-High magnetoelectric coupling in piezoelectric modified BNT and magnetic.pdf","0fa62df7df7a121d4110e95b4dc9b3211ea061d897f95f0845d0ef13fdab837f","9875213"
"53","manual","pdfs/manual/original_001_100/53-Mn掺杂BFO-2015-JMCC.pdf","53-Mn掺杂BFO-2015-JMCC.pdf","1f395b5a12aedc443521eec9f0a3689906ba33ba30f4ba41eb0f43ed5905f35d","4793646"
"54","manual","pdfs/manual/original_001_100/54-top-俩钙钛矿复合实现磁电耦合-2021-Scripta Materialia-钙钛矿复合-New approach for designing bulk multiferroic composites made of.pdf","54-top-俩钙钛矿复合实现磁电耦合-2021-Scripta Materialia-钙钛矿复合-New approach for designing bulk multiferroic composites made of.pdf","673424d0c259e3a22406bd759add6d3c7b4391dc1186a525637aac08ac22d804","1764427"
"55","manual","pdfs/manual/original_001_100/55-铁氧体加铁电-2024-CI-新型Na0.5Bi0.5TiO3-BaFe12-2xCoxTixO19多铁复合材料中的强磁电耦合.pdf","55-铁氧体加铁电-2024-CI-新型Na0.5Bi0.5TiO3-BaFe12-2xCoxTixO19多铁复合材料中的强磁电耦合.pdf","1befed9f16506b946a9ce2cf35b7840fdb13c7219fbce375ed415650a12a8f18","2917513"
"56","manual","pdfs/manual/original_001_100/56-可以看磁电耦合CoFe和铁电- 2017 -美陶- Novel magnetoelectric composites of cobalt iron alloy and barium.pdf","56-可以看磁电耦合CoFe和铁电- 2017 -美陶- Novel magnetoelectric composites of cobalt iron alloy and barium.pdf","b8a91686004c6ef036b8f26457cd73a3cdfc0dc9cda8fdef910b86305606472f","1006369"
"57","manual","pdfs/manual/original_001_100/57- 2024 - 美陶 - Stress‐induced multiferroic properties of lead‐free  1   x BTNO.pdf","57- 2024 - 美陶 - Stress‐induced multiferroic properties of lead‐free  1   x BTNO.pdf","d92f71c5a24560b0d01eeed430a4004271d443817a204e7361076bc71032d7a5","2712286"
"58","manual","pdfs/manual/original_001_100/58-纯铁电多铁-2024-sintering-induced-multiferroicity-in-0.93(na0.5bi0.5)tio3-0.07batio3-ceramics.pdf","58-纯铁电多铁-2024-sintering-induced-multiferroicity-in-0.93(na0.5bi0.5)tio3-0.07batio3-ceramics.pdf","6f68b64139c5df4d430e5d0eb0d1908f642fc7bf2aab791ed06127310ca991c0","3301475"
"59","manual","pdfs/manual/original_001_100/59-纯铁电中多铁-2019-apl.pdf","59-纯铁电中多铁-2019-apl.pdf","50d1c33264093f5be7f491402099f03adb048700a635c3a23fb313446dd89e65","1770691"
"60","manual","pdfs/manual/original_001_100/60-2019-CoFe2O4–Ba1–xSrxTiO3共晶.pdf","60-2019-CoFe2O4–Ba1–xSrxTiO3共晶.pdf","83a59a04752727d1a9bff294cd73d6443f7e8de0706e4046bdcc1b4d94066735","2245974"
"61","manual","pdfs/manual/original_001_100/61-铁团聚体单相磁介电-2020-Angew- The Mechanism of the Magnetodielectric Response in a Molecule‐Based Trinuclear Iron Cluster.pdf","61-铁团聚体单相磁介电-2020-Angew- The Mechanism of the Magnetodielectric Response in a Molecule‐Based Trinuclear Iron Cluster.pdf","01970d926a980c7c29cf8741b9cafe728611b7d5afddf7002ab479c0723986aa","1759908"
"62","manual","pdfs/manual/original_001_100/62-2015第一性原理计算热中介机制磁电耦合-PhysRevLett-Thermally Mediated Mechanism to Enhance Magnetoelectric Coupling.pdf","62-2015第一性原理计算热中介机制磁电耦合-PhysRevLett-Thermally Mediated Mechanism to Enhance Magnetoelectric Coupling.pdf","afcb9acddddbc78b39961f05cca8449c68791e85b262082ae177b611d4b0cde9","216880"
"63","manual","pdfs/manual/original_001_100/63-氧化铁和聚合物-2023-MH-热中介磁电耦合-The magnetopyroelectric effect heat-mediated.pdf","63-氧化铁和聚合物-2023-MH-热中介磁电耦合-The magnetopyroelectric effect heat-mediated.pdf","3aa497a17d924b1eff58d4d85c9c78a663dbc9e11c7787b84bbf2e08de6f53a8","3671199"
"64","manual","pdfs/manual/original_001_100/64-2013-apl-共烧织构层状复合材料中的巨大自偏磁电耦合.pdf","64-2013-apl-共烧织构层状复合材料中的巨大自偏磁电耦合.pdf","784b94378b77c293eaddc9d973e0682faf55471f26001cfcc94f0b7e926aee41","2851340"
"65","manual","pdfs/manual/original_001_100/65-2015-apl-嵌入式NiPZTFeNi复合材料中磁电耦合的应力诱导自偏置.pdf","65-2015-apl-嵌入式NiPZTFeNi复合材料中磁电耦合的应力诱导自偏置.pdf","c0d3af12cb78a88e6e0fd81298647469dc2868dda1435768f3174f2bd30d55d5","902568"
"66","manual","pdfs/manual/original_001_100/66-2017-apl-自偏置.pdf","66-2017-apl-自偏置.pdf","2329e7be1090de76b7e7daf904222a0c91a281c35a281e77c1845719b54fc797","1429184"
"67","manual","pdfs/manual/original_001_100/67-2023-JAC-自偏置-Tunable self-biased magnetoelectric effect in magnetization-graded magnetoelectric composites.pdf","67-2023-JAC-自偏置-Tunable self-biased magnetoelectric effect in magnetization-graded magnetoelectric composites.pdf","74dd78c6b924686afde73c150e515ca1cab4c9bb8a336efc28b1cc83605fe094","4126012"
"68","manual","pdfs/manual/original_001_100/68-2023-acsnano-室温下具有大磁电耦合的溶液处理多铁薄膜-solution-processed-multiferroic-thin-films-with-large-magnetoelectric-coupling-at-room.pdf","68-2023-acsnano-室温下具有大磁电耦合的溶液处理多铁薄膜-solution-processed-multiferroic-thin-films-with-large-magnetoelectric-coupling-at-room.pdf","b6e108d7448e28a910df3b8d5501a6b557835daf7cf7ae36760a1860ebcbd1dc","5644089"
"69","manual","pdfs/manual/original_001_100/69-2020-在室温下，超顺磁相和铁电相共存的多铁质体中的巨大磁电响应.pdf","69-2020-在室温下，超顺磁相和铁电相共存的多铁质体中的巨大磁电响应.pdf","18d86fa8c7f1009997f994bb6d4733479954c969adcf67d9bff3f09d982a2bb0","822450"
"70","manual","pdfs/manual/original_001_100/70-2016-jmcc-还原烧结和再氧化法制备的CoFe2O4-BaTiO3复合材料的磁电滞后行为.pdf","70-2016-jmcc-还原烧结和再氧化法制备的CoFe2O4-BaTiO3复合材料的磁电滞后行为.pdf","c99b0f3f21a145eb1272faa9d571879e8ff8d3d3521f9d26485b1ad19c2549ed","2488494"
"71","manual","pdfs/manual/original_001_100/71-2017-3M-Room temperature large self-biased magnetoelectric effect.pdf","71-2017-3M-Room temperature large self-biased magnetoelectric effect.pdf","f538c9d1eb5fd29c13324ac12eea174b0650577334f45988135aba6d4f4671ca","1319827"
"72","manual","pdfs/manual/original_001_100/72-有机多铁异质结中的光控磁化效应和磁电效应2017-aom.pdf","72-有机多铁异质结中的光控磁化效应和磁电效应2017-aom.pdf","ccb453d0ade196c203a7c5ff5691b3e3941dd6ec7aa64dfa5ccdef46284761a9","1729814"
"73","manual","pdfs/manual/original_001_100/73-2019-PhysRevLett-提出在反铁磁过渡金属氧化物中插入氢是实现强磁电耦合.pdf","73-2019-PhysRevLett-提出在反铁磁过渡金属氧化物中插入氢是实现强磁电耦合.pdf","3f05bd960e2a348e0b424c94f9d355c5321c384cc964e4f6dcaff6fbc1f00106","895786"
"74","manual","pdfs/manual/original_001_100/74-掺杂铁钛酸钡-单相-2020-jac-Room temperature magnetoelectric coupling in Fe-doped sodium.pdf","74-掺杂铁钛酸钡-单相-2020-jac-Room temperature magnetoelectric coupling in Fe-doped sodium.pdf","43219e263dc05d2715531d28c949be288ecb44ea1824943505874081cc38139d","4717813"
