candidate_rank,paper_id,title,doi,year,journal,s2_is_open_access,oa_pdf_url,status,filename,sha256,bytes,error,openalex_status,openalex_error
11,,One-step sintering enabled structural stability and defect suppression even in Fe-off-stoichiometric BiFeO3-BaTiO3 piezoceramics,10.1016/j.jmat.2025.101158,2026,Journal of Materiomics,True,https://doi.org/10.1016/j.jmat.2025.101158,DOWNLOAD_FAILED,,,0,ValueError: response is not a PDF,NO_WORKING_PDF,
12,103,Concurrently enhanced piezoelectric performance and curie temperature in stressed lead-free Ba0.85Ca0.15Ti0.9Zr0.1O3 ceramics,10.1038/s41467-025-59311-2,2025,Nature Communications,True,https://www.nature.com/articles/s41467-025-59311-2.pdf,DOWNLOADED,103-Concurrently enhanced piezoelectric performance and curie temperature in stressed lead-free Ba0.85Ca0.15T.pdf,3eb23801b5829964f722780d3ef9621ffb57f2ad74c60c7c87d9a5f6a9d94ad9,5589993,,,
13,,Simultaneous enhancement of piezoelectric performance and Curie temperature in high-temperature Bi4Ti3O12 piezoceramics through A/B site co-doping,10.26599/jac.2025.9221077,2025,Journal of Advanced Ceramics,True,https://sciopen.com/article_pdf/1909496977785700353.pdf,DOWNLOAD_FAILED,,,0,"ProxyError: HTTPSConnectionPool(host='sciopen.com', port=443): Max retries exceeded with url: /article_pdf/1909496977785700353.pdf (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))",NO_WORKING_PDF,"ProxyError: HTTPSConnectionPool(host='sciopen.com', port=443): Max retries exceeded with url: /article_pdf/1909496977785700353.pdf (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))"
14,,Synergistically enhancing the piezoelectric activity and Curie temperature of CaBi4Ti4O15 ceramics via co-doping Gd/Mn at the A/B-site,10.26599/jac.2024.9220952,2024,Journal of Advanced Ceramics,True,https://doi.org/10.26599/jac.2024.9220952,DOWNLOAD_FAILED,,,0,ValueError: response is not a PDF,NO_WORKING_PDF,
15,,Room-temperature magnetoresistive and magnetocaloric effect in La1- x Ba xMnO3compounds: Role of Griffiths phase with ferromagnetic metal cluster above Curie temperature,10.1063/5.0078188,2022,Journal of Applied Physics,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
16,104,Textured ferroelectric ceramics with high electromechanical coupling factors over a broad temperature range,10.1038/s41467-021-21673-8,2021,Nature Communications,True,https://www.nature.com/articles/s41467-021-21673-8.pdf,DOWNLOADED,104-Textured ferroelectric ceramics with high electromechanical coupling factors over a broad temperature ran.pdf,ad7625a45869977b6cb340dbaac79b5ec6f7005f4d43ae2268465de056b2b97f,1975112,,,
17,,Chemical-Pressure-Modulated BaTiO3Thin Films with Large Spontaneous Polarization and High Curie Temperature,10.1021/jacs.1c00605,2021,Journal of the American Chemical Society,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
18,,Curie temperature modeling of magnetocaloric lanthanum manganites using Gaussian process regression,10.1016/j.jmmm.2020.166998,2020,Journal of Magnetism and Magnetic Materials,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
19,,Excellent thermal stability and aging behaviors in BiFeO3-BaTiO3 piezoelectric ceramics with rhombohedral phase,10.1111/jace.16755,2020,Journal of the American Ceramic Society,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
20,,Ultrahigh Piezoelectric Response Obtained by Artificially Generating a Large Internal Bias Field in BiFeO3–BaTiO3 Lead-Free Ceramics,10.1002/adfm.202313879,2024,Advanced Functional Materials,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
21,,Poling above the Curie temperature driven large enhancement in piezoelectric performance of Mn doped PZT-based piezoceramics,10.1016/j.nanoen.2023.108546,2023,Nano Energy,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
22,,"Sm-Doped PIN-PMN-PT Transparent Ceramics with High Curie Temperature, Good Piezoelectricity, and Excellent Electro-Optical Properties",10.1021/acsami.2c19865,2023,ACS Applied Materials and Interfaces,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
23,175,Mn-Rich MnSb2Te4: A Topological Insulator with Magnetic Gap Closing at High Curie Temperatures of 45–50 K,10.1002/adma.202102935,2021,Advanced Materials,True,https://arxiv.org/pdf/2011.07052,DOWNLOADED_OPENALEX,175-Mn-Rich MnSb2Te4 A Topological Insulator with Magnetic Gap Closing at High Curie Temperatures of 45–50 K.pdf,e16c469c537a7395506fa462116581fbd80d3330d607dbdf72ef49a9ace62844,6104975,,,
24,,"Fabrication, structure, and frequency-dependent electrical and dielectric properties of Sr-doped BaTiO3 ceramics",10.1016/j.ceramint.2019.09.208,2020,Ceramics International,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
25,105,High-throughput discovery of high Curie point two-dimensional ferromagnetic materials,10.1038/s41524-020-0300-2,2020,Npj Computational Materials,True,https://www.nature.com/articles/s41524-020-0300-2.pdf,DOWNLOADED,105-High-throughput discovery of high Curie point two-dimensional ferromagnetic materials.pdf,9da56efb52065dce92145c0dcc687ab431dc62a1f35cfaa729c9f826c33107e6,2011733,,,
26,,"Study of half metallic ferromagnetism, Curie temperature, and thermoelectric aspects of double perovskite oxides Ba2XMoO6 (X = Cr, Mn, Fe, Co) for spintronic applications",10.1016/j.mssp.2025.109519,2025,Materials Science in Semiconductor Processing,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
27,,Design and development of a new lead-free BiFeO3-BaTiO3 quenched ceramics for high piezoelectric strain performance,10.1016/j.cej.2023.145387,2023,Chemical Engineering Journal,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
28,,Investigation of BiFeO3-BaTiO3 lead-free piezoelectric ceramics with nonstoichiometric bismuth,10.20517/microstructures.2023.34,2023,Microstructures,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
29,,Improvement in piezoelectric performance of the lead-free BiFeO3-BaTiO3 ceramics by synergistic approach,10.1016/j.jmst.2023.02.058,2023,Journal of Materials Science and Technology,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
30,,On-the-fly interpretable machine learning for rapid discovery of two-dimensional ferromagnets with high Curie temperature,10.1016/j.chempr.2021.11.009,2022,Chem,True,https://doi.org/10.1016/j.chempr.2021.11.009,DOWNLOAD_FAILED,,,0,ValueError: response is not a PDF,NO_WORKING_PDF,
31,106,A combinatory ferroelectric compound bridging simple ABO3 and A-site-ordered quadruple perovskite,10.1038/s41467-020-20833-6,2021,Nature Communications,True,https://www.nature.com/articles/s41467-020-20833-6.pdf,DOWNLOADED,106-A combinatory ferroelectric compound bridging simple ABO3 and A-site-ordered quadruple perovskite.pdf,d0ed8c42d28788fea1a3be768b904019bef8d51b8a0195fc22e92d03c62bcfd8,1534967,,,
32,,Two-Dimensional Layered Perovskite Ferroelectric with Giant Piezoelectric Voltage Coefficient,10.1021/jacs.9b12368,2020,Journal of the American Chemical Society,True,https://figshare.com/articles/journal_contribution/Two-Dimensional_Layered_Perovskite_Ferroelectric_with_Giant_Piezoelectric_Voltage_Coefficient/11482605/1/files/20504034.pdf,DOWNLOAD_FAILED,,,0,ValueError: response is not a PDF,NO_WORKING_PDF,
33,,Room-Temperature Ferroelectric Material Composed of a Two-Dimensional Metal Halide Double Perovskite for X-ray Detection,10.1002/anie.202004235,2020,Angewandte Chemie International Edition,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
34,,Proximity-Coupling-Induced Significant Enhancement of Coercive Field and Curie Temperature in 2D van der Waals Heterostructures,10.1002/adma.202002032,2020,Advanced Materials,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
35,,Concurrent Enhancement of Piezoelectricity and Curie Temperature in Bi4Ti3O12 Ceramics via Dual-Modification,10.1002/adfm.202523058,2026,Advanced Functional Materials,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
36,,Effect of PbTiO3 content on the piezoelectric response of high curie temperature PYN-PZT ceramics,10.1016/j.jallcom.2025.185749,2026,Journal of Alloys and Compounds,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
37,,Ultrahigh capacitive energy storage of BiFeO3-based ceramics through multi-oriented nanodomain construction,10.1038/s41467-025-57228-4,2025,Nature Communications,True,https://doi.org/10.1038/s41467-025-57228-4,DOWNLOAD_FAILED,,,0,ValueError: response is not a PDF,NO_WORKING_PDF,
38,,Enhancement of piezoelectric properties and temperature stability of high-Curie temperature CaBi2Nb2O9 ceramics,10.1016/j.jeurceramsoc.2024.117101,2025,Journal of the European Ceramic Society,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
39,,Synergy ascension of Piezoresponse and curie temperature in bismuth-layered ceramics via defect engineering,10.1016/j.actamat.2025.121108,2025,Acta Materialia,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
40,176,Pyroelectricity induced by Schottky interface above the Curie temperature of bulk materials,10.1016/j.joule.2023.12.006,2024,Joule,True,https://purehost.bath.ac.uk/ws/files/321087618/Pyroelectricity_induced_by_Schottky_interface_AAM.pdf,DOWNLOADED_OPENALEX,176-Pyroelectricity induced by Schottky interface above the Curie temperature of bulk materials.pdf,dce988c5c72f4f18a0fdc23af1394a3554db8c6470eab961891bc4176aaf8d7d,483138,,,
41,107,Ferroelectric Polarization in BaTiO3 Nanocrystals Controls Photoelectrochemical Water Oxidation and Photocatalytic Hydrogen Evolution,10.1021/jacs.3c03762,2023,Journal of the American Chemical Society,True,https://www.osti.gov/servlets/purl/2000438,DOWNLOADED,107-Ferroelectric Polarization in BaTiO3 Nanocrystals Controls Photoelectrochemical Water Oxidation and Photo.pdf,9dc97b8dd711bd46dc1a73bd6c54fba030938cfb8f797e75f22d3789237ce678,2367562,,,
42,,Large Electrostrictive Coefficient in a Two-Dimensional Hybrid Perovskite Ferroelectric,10.1021/jacs.0c12907,2021,Journal of the American Chemical Society,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
43,,A multiaxial lead-free two-dimensional organic-inorganic perovskite ferroelectric,10.1093/nsr/nwaa232,2021,National Science Review,True,https://academic.oup.com/nsr/article-pdf/8/5/nwaa232/38909493/nwaa232.pdf,DOWNLOAD_FAILED,,,0,HTTPError: 403 Client Error: Forbidden for url: https://academic.oup.com/nsr/article-pdf/8/5/nwaa232/38909493/nwaa232.pdf,NO_WORKING_PDF,HTTPError: 403 Client Error: Forbidden for url: https://academic.oup.com/nsr/article-pdf/8/5/nwaa232/38909493/nwaa232.pdf
44,,Confinement-Driven Ferroelectricity in a Two-Dimensional Hybrid Lead Iodide Perovskite,10.1021/jacs.0c03710,2020,Journal of the American Chemical Society,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
45,,Two-Dimensional Hybrid Perovskite Ferroelectric Induced by Perfluorinated Substitution,10.1021/jacs.0c10686,2020,Journal of the American Chemical Society,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
46,,DFT-based and experimental study on Sr-doped BaTiO3: Impacts on piezoelectric and ferroelectric performance,10.1016/j.ceramint.2025.03.069,2025,Ceramics International,True,https://doi.org/10.1016/j.ceramint.2025.03.069,DOWNLOAD_FAILED,,,0,ValueError: response is not a PDF,NO_WORKING_PDF,
47,,Tunable Domain Switching Features of Incommensurate Antiferroelectric Ceramics Realizing Excellent Energy Storage Properties,10.1002/adma.202201333,2022,Advanced Materials,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202201333,DOWNLOAD_FAILED,,,0,HTTPError: 403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202201333,NO_WORKING_PDF,
48,108,Imperceptible energy harvesting device and biomedical sensor based on ultraflexible ferroelectric transducers and organic diodes,10.1038/s41467-021-22663-6,2021,Nature Communications,True,https://www.nature.com/articles/s41467-021-22663-6.pdf,DOWNLOADED,108-Imperceptible energy harvesting device and biomedical sensor based on ultraflexible ferroelectric transdu.pdf,ae1a76b4824e9d6245fd07bb8dfcff461b02b73f6b0606d1a0a9b08c4101c038,2213522,,,
49,,Trilayered Lead Chloride Perovskite Ferroelectric Affording Self-Powered Visible-Blind Ultraviolet Photodetection with Large Zero-Bias Photocurrent,10.1021/jacs.9b10919,2020,Journal of the American Chemical Society,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
50,,A Three-Dimensional Lead Halide Perovskite-Related Ferroelectric,10.1021/jacs.0c00375,2020,Journal of the American Chemical Society,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
51,109,Electrically tunable high Curie temperature two-dimensional ferromagnetism in van der Waals layered crystals,10.1063/5.0014865,2020,Applied Physics Letters,True,https://arxiv.org/pdf/1811.02674,DOWNLOADED,109-Electrically tunable high Curie temperature two-dimensional ferromagnetism in van der Waals layered cryst.pdf,671c2acb24501eae1cac036f4f3984c4243a847146727c4f170447b7494afeda,1303068,,,
52,,Large enhancement of ferroelectric properties of perovskite oxides via nitrogen incorporation,10.1126/sciadv.ads8830,2025,Science Advances,True,https://doi.org/10.1126/sciadv.ads8830,DOWNLOAD_FAILED,,,0,HTTPError: 403 Client Error: Forbidden for url: https://www.science.org/doi/10.1126/sciadv.ads8830,NO_WORKING_PDF,HTTPError: 403 Client Error: Forbidden for url: https://escholarship.org/content/qt8t077677/qt8t077677.pdf | HTTPError: 403 Client Error: Forbidden for url: https://pmc.ncbi.nlm.nih.gov/articles/PMC11721576/pdf/sciadv.ads8830.pdf
53,110,Lone pair expression in fluorinated two-dimensional hybrid perovskite enables multiaxial ferroelectricity and nonlinear optical response,10.1038/s41467-025-63134-6,2025,Nature Communications,True,https://www.nature.com/articles/s41467-025-63134-6.pdf,DOWNLOADED,110-Lone pair expression in fluorinated two-dimensional hybrid perovskite enables multiaxial ferroelectricity.pdf,609c35d9e070025fdc5e28ae827571a64c5b97121fca55a3e480a39018081226,2510836,,,
54,,Gaussian process modeling of doped-lanthanum manganites Curie temperature from compositions and ionic radii,10.1016/j.ssc.2022.115025,2023,Solid State Communications,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
55,111,Simultaneously achieving giant piezoelectricity and record coercive field enhancement in relaxor-based ferroelectric crystals,10.1038/s41467-022-29962-6,2022,Nature Communications,True,https://www.nature.com/articles/s41467-022-29962-6.pdf,DOWNLOADED,111-Simultaneously achieving giant piezoelectricity and record coercive field enhancement in relaxor-based fe.pdf,a2e3c0d4eb4745578156fdd629f2374d9b3a36ae5de42e9eeb4ce648de7da9f6,1819380,,,
56,,A universal framework for metropolis Monte Carlo simulation of magnetic Curie temperature,10.1016/j.commatsci.2021.110638,2021,Computational Materials Science,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
57,,"Two-dimensional ferromagnetic semiconductors of rare-earth monolayer GdX2 (X = Cl, Br, I) with large perpendicular magnetic anisotropy and high Curie temperature",10.1016/j.mtphys.2021.100514,2021,Materials Today Physics,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
58,,Room-temperature multiferroicity and diversified magnetoelectric couplings in 2D materials,10.1093/nsr/nwz169,2020,National Science Review,True,https://academic.oup.com/nsr/article-pdf/7/2/373/32922015/nwz169.pdf,DOWNLOAD_FAILED,,,0,HTTPError: 403 Client Error: Forbidden for url: https://academic.oup.com/nsr/article-pdf/7/2/373/32922015/nwz169.pdf,NO_WORKING_PDF,HTTPError: 403 Client Error: Forbidden for url: https://academic.oup.com/nsr/article-pdf/7/2/373/32922015/nwz169.pdf
59,,"Predicted 2D ferromagnetic Janus VSeTe monolayer with high Curie temperature, large valley polarization and magnetic crystal anisotropy",10.1039/d0nr04837b,2020,Nanoscale,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
60,,"Strain-Controllable High Curie Temperature, Large Valley Polarization, and Magnetic Crystal Anisotropy in a 2D Ferromagnetic Janus VSeTe Monolayer",10.1021/acsami.0c13988,2020,ACS Applied Materials and Interfaces,True,https://doi.org/10.1021/acsami.0c13988.s001,DOWNLOAD_FAILED,,,0,HTTPError: 403 Client Error: Forbidden for url: https://pubs.acs.org/doi/suppl/10.1021/acsami.0c13988/suppl_file/am0c13988_si_001.pdf,NO_WORKING_PDF,
61,112,Two-dimensional Weyl nodal-line semimetal in a d0 ferromagnetic K2 N monolayer with a high Curie temperature,10.1103/physrevb.102.125118,2020,Physical Review B,True,https://arxiv.org/pdf/2006.02018,DOWNLOADED,112-Two-dimensional Weyl nodal-line semimetal in a d0 ferromagnetic K2 N monolayer with a high Curie temperat.pdf,5e9b8bf46815812948a017d8d1c5c2baca8f7ba4e7e037fa833577a896b30b90,2261397,,,
62,113,Coupled ferroelectricity and superconductivity in bilayer Td-MoTe2,10.1038/s41586-022-05521-3,2023,Nature,True,https://arxiv.org/pdf/2304.05443,DOWNLOADED,113-Coupled ferroelectricity and superconductivity in bilayer Td-MoTe2.pdf,168addc1c9f8292d7ac67884195f0404cee0c0a5216623ea0f0e9e59b032cb5c,36777724,,,
63,,Giant Energy Storage Density with Antiferroelectric-Like Properties in BNT-Based Ceramics via Phase Structure Engineering,10.1002/smll.202302346,2023,Small,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
64,,Remarkable Enhancement of Piezoelectric Performance by Heavy Halogen Substitution in Hybrid Perovskite Ferroelectrics,10.1021/jacs.2c12306,2023,Journal of the American Chemical Society,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
65,,Large Piezoelectric Response in a Metal-Free Three-Dimensional Perovskite Ferroelectric,10.1021/jacs.3c00646,2023,Journal of the American Chemical Society,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
66,,Giant Polarization Sensitivity via the Anomalous Photovoltaic Effect in a Two-Dimensional Perovskite Ferroelectric,10.1021/jacs.3c05020,2023,Journal of the American Chemical Society,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
67,,"Two-dimensional rare-earth Janus 2H-GdXY (X,Y=Cl,Br, I; X≠Y) monolayers: Bipolar ferromagnetic semiconductors with high Curie temperature and large valley polarization",10.1103/physrevb.107.115428,2023,Physical Review B,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
68,114,Two-dimensional multiferroic material of metallic p-doped SnSe,10.1038/s41467-022-33917-2,2022,Nature Communications,True,https://www.nature.com/articles/s41467-022-33917-2.pdf,DOWNLOADED,114-Two-dimensional multiferroic material of metallic p-doped SnSe.pdf,e122986d840670a0d0d6593a225e0dd082bb0b8e03cbd203d4466e24c246be12,4465721,,,
69,,Discovery of a 2D Hybrid Silver/Antimony-Based Iodide Double Perovskite Photoferroelectric with Photostrictive Effect and Efficient X-Ray Response,10.1002/adfm.202205918,2022,Advanced Functional Materials,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
70,115,"The mechanism for the enhanced piezoelectricity in multi-elements doped (K,Na)NbO3 ceramics",10.1038/s41467-021-21202-7,2021,Nature Communications,True,https://www.nature.com/articles/s41467-021-21202-7.pdf,DOWNLOADED,"115-The mechanism for the enhanced piezoelectricity in multi-elements doped (K,Na)NbO3 ceramics.pdf",bd64a3f59adfa6d7632243aecf06a23e8f2ddbd4faa2c784460089fe4e50c7cf,6588009,,,
71,,Highly Tunable Multifunctional BaTiO3-Based Ferroelectrics via Site Selective Doping Strategy,10.1016/j.actamat.2021.116792,2021,Acta Materialia,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
72,116,Magnetic ground state and electron-doping tuning of Curie temperature in Fe3GeTe2: First-principles studies,10.1103/physrevb.103.085102,2021,Physical Review B,True,https://arxiv.org/pdf/2009.05701,DOWNLOADED,116-Magnetic ground state and electron-doping tuning of Curie temperature in Fe3GeTe2 First-principles studie.pdf,def874369ef04ef773507597e5b41350b1c3d2d8704b5bbff9711bc9882f7790,2068361,,,
73,,P(VDF-TrFE) nanofibers: Structure of the ferroelectric and paraelectric phases through IR and Raman spectroscopies,10.1039/d0ra05478j,2020,Rsc Advances,True,https://pubs.rsc.org/en/content/articlepdf/2020/ra/d0ra05478j,DOWNLOAD_FAILED,,,0,HTTPError: 403 Client Error: Forbidden for url: https://pubs.rsc.org/en/content/articlepdf/2020/ra/d0ra05478j,NO_WORKING_PDF,HTTPError: 403 Client Error: Forbidden for url: https://pubs.rsc.org/en/content/articlepdf/2020/ra/d0ra05478j
74,,Simultaneously achieving large transducer figure-of-merits and high curie temperature through acceptor doping in PMN-PAN-PZT ternary system for high power applications,10.1016/j.jeurceramsoc.2025.117747,2026,Journal of the European Ceramic Society,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
75,,Achieving higher Curie temperature and magnetic entropy change by minor Co substitution for Fe in a Fe88Pr10Al2 amorphous alloy,10.1016/j.intermet.2025.109125,2026,Intermetallics,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
76,,Enhanced Piezoelectric and Ferroelectric Properties of Ion-Doped BaTiO3,10.1002/pssb.202500411,2026,Physica Status Solidi B Basic Research,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
77,,"Multielement (Fe, La, Ca, Zr) doping achieves superior dielectric properties and broad-temperature stability in BaTiO3-based ceramics",10.1016/j.ceramint.2026.02.114,2026,Ceramics International,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
78,,Influence of heat sintering on the physical properties of bulk La0.67Ca0.33MnO3 perovskite manganite: role of oxygen in tuning the magnetocaloric response,10.1039/d3cp04185a,2024,Physical Chemistry Chemical Physics,True,https://pubs.rsc.org/en/content/articlepdf/2024/cp/d3cp04185a,DOWNLOAD_FAILED,,,0,HTTPError: 403 Client Error: Forbidden for url: https://pubs.rsc.org/en/content/articlepdf/2024/cp/d3cp04185a,NO_WORKING_PDF,HTTPError: 403 Client Error: Forbidden for url: https://pubs.rsc.org/en/content/articlepdf/2024/cp/d3cp04185a
79,117,High-performance van der Waals antiferroelectric CuCrP2S6-based memristors,10.1038/s41467-023-43628-x,2023,Nature Communications,True,https://www.nature.com/articles/s41467-023-43628-x.pdf,DOWNLOADED,117-High-performance van der Waals antiferroelectric CuCrP2S6-based memristors.pdf,1f02f6d73aa5a509f556eba8541c1f6f098de6872098d3a0b441a438121e4b96,3711817,,,
80,,Photoexcited Ultraviolet-to-Infrared (II) Pyroelectricity in a 2D Ferroelectric Perovskite Driving Broadband Self-Powered Photoactivities,10.1002/adfm.202214858,2023,Advanced Functional Materials,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
81,,Room-Temperature Ferroelectricity in 1 T′ - ReS2 Multilayers,10.1103/physrevlett.128.067601,2022,Physical Review Letters,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
82,,High-Performance Strain of Lead-Free Relaxor-Ferroelectric Piezoceramics by the Morphotropic Phase Boundary Modification,10.1002/adfm.202202307,2022,Advanced Functional Materials,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
83,,Unprecedented Ferroelectricity and Ferromagnetism in a Cr2+-Based Two-Dimensional Hybrid Perovskite,10.1002/anie.202206034,2022,Angewandte Chemie International Edition,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
84,,Origin of Ferroelectricity in Two Prototypical Hybrid Organic-Inorganic Perovskites,10.1021/jacs.1c10188,2022,Journal of the American Chemical Society,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
85,118,Thermodynamics and dielectric response of BaTiO3 by data-driven modeling,10.1038/s41524-022-00845-0,2022,Npj Computational Materials,True,https://www.nature.com/articles/s41524-022-00845-0.pdf,DOWNLOADED,118-Thermodynamics and dielectric response of BaTiO3 by data-driven modeling.pdf,de8b0200b0ea3ea0c4c65ca05b19c636fdbf4e30bb8650df71b59d424ba09514,3339221,,,
86,,Excellent cryogenic magnetocaloric performances in ferromagnetic Sr2GdNbO6 double perovskite compound,10.1016/j.mtphys.2021.100470,2021,Materials Today Physics,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
87,,Room-Temperature Symmetric Giant Positive and Negative Electrocaloric Effect in PbMg0.5W0.5O3 Antiferroelectric Ceramic,10.1002/adfm.202101176,2021,Advanced Functional Materials,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
