title,doi,eid,scopus_id,year,cover_date,journal,issn,publisher,document_type,authors,affiliations,cited_by_count,open_access,scopus_url,discovery_source,review_status,download_status,oa_pdf_url,priority_score,candidate_rank
Optimized comprehensive piezoelectric performances in lead-free BiFeO3-BaTiO3 ceramics via site-selective Sm3+ substitution,10.1016/j.jsamd.2026.101207,2-s2.0-105041096280,105041096280,2026,2026-09-01,Journal of Science Advanced Materials and Devices,24682284,,Article,,Chengdu University of Information Technology,0,True,https://api.elsevier.com/content/abstract/scopus_id/105041096280,scopus,PENDING,NOT_STARTED,,23,11
Ultra-high piezoelectric properties of BiFeO3–BaTiO3 lead-free piezoelectric ceramics enabled by a one-step sintering process,10.26599/jac.2026.9221302,2-s2.0-105044559978,105044559978,2026,2026-06-01,Journal of Advanced Ceramics,22264108,,Article,,University of Science and Technology Beijing,0,True,https://api.elsevier.com/content/abstract/scopus_id/105044559978,scopus,PENDING,NOT_STARTED,,23,12
"Polarity-Gated Anti-Thermal Luminescence in a Reentrant Luminescent Ferroelectric: (3,3-difluoropyrrolidinium)2SbCl5 with Dual Curie Points",10.1002/lpor.202502817,2-s2.0-105032265659,105032265659,2026,2026-07-22,Laser and Photonics Reviews,18638880,,Article,,Beijing University of Posts and Telecommunications,1,False,https://api.elsevier.com/content/abstract/scopus_id/105032265659,scopus,PENDING,NOT_STARTED,,22,13
Enhanced Reversibility of Antiferroelectric–Ferroelectric Transition in PbZr1−xTixO3 Through a Compatible Pathway,10.1115/1.4071731,2-s2.0-105040191884,105040191884,2026,2026-07-01,Journal of Applied Mechanics,00218936,,Article,,Hong Kong University of Science and Technology,0,True,https://api.elsevier.com/content/abstract/scopus_id/105040191884,scopus,PENDING,NOT_STARTED,,22,14
Strain-tuned ferroelectric transitions in HfO2: role of X2− mode in ferroelectric instabilities,10.1038/s41535-025-00841-9,2-s2.0-105035857209,105035857209,2026,2026-12-01,Npj Quantum Materials,,,Article,,Center for Theoretical Physics,0,True,https://api.elsevier.com/content/abstract/scopus_id/105035857209,scopus,PENDING,NOT_STARTED,,22,15
An abnormal decrease in Curie temperature in pseudohalide rare-earth double perovskite ferroelastics driven by lanthanide contraction,10.1039/d6qi00521g,2-s2.0-105038637019,105038637019,2026,2026-06-16,Inorganic Chemistry Frontiers,20521545,,Article,,Zhejiang Normal University,0,False,https://api.elsevier.com/content/abstract/scopus_id/105038637019,scopus,PENDING,NOT_STARTED,,21,16
Defect-mediated domain-wall pinning induced by trace LiF doping: Ultrahigh Curie temperature and outstanding thermal stability in Bi4Ti3O12-based piezoceramics,10.1016/j.jeurceramsoc.2026.118606,2-s2.0-105041676876,105041676876,2026,2026-12-01,Journal of the European Ceramic Society,09552219,,Article,,College of Materials Science and Engineering,0,False,https://api.elsevier.com/content/abstract/scopus_id/105041676876,scopus,PENDING,NOT_STARTED,,20,17
Enhanced Piezoelectric Response in CaBi2Nb2O9–Na0.5Bi2.5Nb2O9-Based Ceramics With High Curie Temperature,10.1111/jace.71017,2-s2.0-105045539103,105045539103,2026,2026-07-01,Journal of the American Ceramic Society,00027820,,Article,,Jingdezhen Ceramic University,0,False,https://api.elsevier.com/content/abstract/scopus_id/105045539103,scopus,PENDING,NOT_STARTED,,20,18
LeadFree Multilayer Piezoelectric Actuators Based on La-Modified BiFeO3–BaTiO3 Ceramics With Labyrinthine Nanodomains,10.1111/jace.71124,2-s2.0-105047277225,105047277225,2026,2026-08-01,Journal of the American Ceramic Society,00027820,,Article,,College of Materials Science and Engineering,0,False,https://api.elsevier.com/content/abstract/scopus_id/105047277225,scopus,PENDING,NOT_STARTED,,20,19
Microstructure and electrical properties of medium-entropy [CaxSr(1−x)/2Ba(1−x)/2]Bi4Ti4O15 piezoelectric ceramics with a high Curie temperature,10.1016/j.physb.2026.418684,2-s2.0-105036086285,105036086285,2026,2026-08-01,Physica B Condensed Matter,09214526,,Article,,Queen Mary University of London,0,False,https://api.elsevier.com/content/abstract/scopus_id/105036086285,scopus,PENDING,NOT_STARTED,,20,20
The effect of B-site Al doping on ferroelectric in BiFeO3–Ba(SnTi)O3-based lead-free ceramics,10.1007/s10854-026-18014-0,2-s2.0-105044902229,105044902229,2026,2026-07-01,Journal of Materials Science Materials in Electronics,09574522,,Article,,Guizhou University,0,False,https://api.elsevier.com/content/abstract/scopus_id/105044902229,scopus,PENDING,NOT_STARTED,,20,21
Zr doping in lead-free BiFeO3-BaTiO3 ceramics: phase structure and piezoelectric properties,10.1016/j.ceramint.2026.06.019,2-s2.0-105041100621,105041100621,2026,2026-08-01,Ceramics International,02728842,,Article,,Jingdezhen Ceramic University,0,False,https://api.elsevier.com/content/abstract/scopus_id/105041100621,scopus,PENDING,NOT_STARTED,,20,22
Discovery of a novel half metallic 2D Cr2Se3 monolayer with high Curie temperature from correlated antiferromagnetic 2D CrSe2,10.1038/s41524-026-02029-6,2-s2.0-105039305003,105039305003,2026,2026-12-01,Npj Computational Materials,,,Article,,Khalifa University,1,True,https://api.elsevier.com/content/abstract/scopus_id/105039305003,scopus,PENDING,NOT_STARTED,,19,23
A machine learning pipeline for predicting Curie temperature of magnetic topological materials,10.1016/j.nxmate.2026.102143,2-s2.0-105037856484,105037856484,2026,2026-07-01,Next Materials,,,Article,,University of Kashmir,0,True,https://api.elsevier.com/content/abstract/scopus_id/105037856484,scopus,PENDING,NOT_STARTED,,19,24
Analysis of Curie point depth characteristics based on the tectonic framework of continental China,10.1016/j.gsf.2026.102385,2-s2.0-105042559247,105042559247,2026,2026-11-01,Geoscience Frontiers,16749871,,Article,,University of Chinese Academy of Sciences,0,True,https://api.elsevier.com/content/abstract/scopus_id/105042559247,scopus,PENDING,NOT_STARTED,,19,25
Curie point depth and geothermal heat flow analysis of the northwest Ethiopian plateau,10.1186/s40517-026-00376-7,2-s2.0-105031510000,105031510000,2026,2026-12-01,Geothermal Energy,,,Article,,Debre Tabor University,0,True,https://api.elsevier.com/content/abstract/scopus_id/105031510000,scopus,PENDING,NOT_STARTED,,19,26
Ferromagnetism with Curie temperature of 500 K in laser-ablated Ga2O3 thin films,10.1016/j.matchemphys.2026.132822,2-s2.0-105042436856,105042436856,2026,2026-09-01,Materials Chemistry and Physics,02540584,,Article,,Masaryk University,0,True,https://api.elsevier.com/content/abstract/scopus_id/105042436856,scopus,PENDING,NOT_STARTED,,19,27
Free-energy model of ferroelectric transition in P(VDF-TrFE) copolymer,10.1103/lctt-68k5,2-s2.0-105042103286,105042103286,2026,2026-06-01,Physical Review E,24700045,,Article,,"Emanuel Institute of Biochemical Physics, Russian Academy of Sciences",0,False,https://api.elsevier.com/content/abstract/scopus_id/105042103286,scopus,PENDING,NOT_STARTED,,19,28
Morphotropic Phase Boundary in Graft Poly(Vinylidene Fluoride-co-Tetrafluoroethylene) With High Curie Temperature,10.1002/advs.74900,2-s2.0-105033243012,105033243012,2026,2026-06-04,Advanced Science,,,Article,,Huazhong University of Science and Technology; Guangdong HUST Industrial Technology Research Institute,0,True,https://api.elsevier.com/content/abstract/scopus_id/105033243012,scopus,PENDING,NOT_STARTED,,19,29
Programmable 2D Magnetic Clusterphenes With High Curie Temperature and Strong Magnetic Anisotropy via Cluster Assembly and Ligand Synergy,10.1002/adfm.77091,2-s2.0-105045392587,105045392587,2026,2026-08-17,Advanced Functional Materials,1616301X,,Article,,Hefei University of Technology,0,True,https://api.elsevier.com/content/abstract/scopus_id/105045392587,scopus,PENDING,NOT_STARTED,,19,30
Role of Electronic Correlations on Exchange Interactions and Curie Temperature in Monolayer CrI3,10.1021/acsomega.6c02634,2-s2.0-105041265108,105041265108,2026,2026-06-09,ACS Omega,,,Article,,Universidade Federal de Pelotas,0,True,https://api.elsevier.com/content/abstract/scopus_id/105041265108,scopus,PENDING,NOT_STARTED,,19,31
"Effect of Cu2+ doping on structural, dielectric, and multiferroic properties of Bi3+-doped BCZT lead-free ceramics",10.1016/j.jallcom.2026.190194,2-s2.0-105046424965,105046424965,2026,2026-08-15,Journal of Alloys and Compounds,09258388,,Article,,Kurukshetra University,0,False,https://api.elsevier.com/content/abstract/scopus_id/105046424965,scopus,PENDING,NOT_STARTED,,18,32
"Study on the structural, ferroelectric, and optical properties of KNN ferroelectric ceramics doped with Cu",10.1007/s10832-025-00399-9,2-s2.0-105025653064,105025653064,2026,2026-06-01,Journal of Electroceramics,13853449,,Article,,Centro de Investigacion y de Estudios Avanzados del Instituto Politécnico Nacional,1,True,https://api.elsevier.com/content/abstract/scopus_id/105025653064,scopus,PENDING,NOT_STARTED,,17,33
Comparative Analysis of Tolerance Factors for Sr2+ Modified BiFeO3–PbTiO3 Ceramics,10.1134/s1063783426600779,2-s2.0-105046341114,105046341114,2026,2026-08-01,Physics of the Solid State,10637834,,Article,,Chandigarh University,0,True,https://api.elsevier.com/content/abstract/scopus_id/105046341114,scopus,PENDING,NOT_STARTED,,17,34
Comprehensive study of Al-doped BaTiO3 ceramics: From doping optimization to electromechanical enhancement for piezoelectric applications,10.1016/j.jeurceramsoc.2026.118330,2-s2.0-105033574623,105033574623,2026,2026-09-01,Journal of the European Ceramic Society,09552219,,Article,,CERAMATHS,0,True,https://api.elsevier.com/content/abstract/scopus_id/105033574623,scopus,PENDING,NOT_STARTED,,17,35
First-Principles and Deep Potential Study of Dielectric Properties and Doping Mechanisms in BaTiO3-Based Perovskites,10.1111/jace.71086,2-s2.0-105047543192,105047543192,2026,2026-08-01,Journal of the American Ceramic Society,00027820,,Article,,Tsinghua University,0,False,https://api.elsevier.com/content/abstract/scopus_id/105047543192,scopus,PENDING,NOT_STARTED,,17,36
Landau–Lifshitz–Bloch simulations of the magnetocaloric effect in continuous ferromagnetic–paramagnetic transitions,10.1016/j.scriptamat.2026.117284,2-s2.0-105033221877,105033221877,2026,2026-06-01,Scripta Materialia,13596462,,Article,,Universidad de Valladolid,0,True,https://api.elsevier.com/content/abstract/scopus_id/105033221877,scopus,PENDING,NOT_STARTED,,17,37
Optimizing Piezoelectric and Ferroelectric Properties in BCZT Ceramics via Nd/Mn Co-Doping and Sintering Engineering,10.3390/ceramics9060062,2-s2.0-105042720240,105042720240,2026,2026-06-01,Ceramics,,,Article,,Changzhou University,0,True,https://api.elsevier.com/content/abstract/scopus_id/105042720240,scopus,PENDING,NOT_STARTED,,17,38
Realization of High-Temperature Multiferroicity in K–Bi-Based Hybrid Double Perovskites via Interaction Engineering,10.1021/acs.inorgchem.6c01860,2-s2.0-105043330652,105043330652,2026,2026-06-29,Inorganic Chemistry,00201669,,Article,,Jiangxi University of Science and Technology,0,False,https://api.elsevier.com/content/abstract/scopus_id/105043330652,scopus,PENDING,NOT_STARTED,,17,39
"Dielectric, ferroelectric and piezoelectric properties of Ho3+substituted (K0.5Na0.5) NbO3 ceramics for piezoelectric energy harvesters",10.1016/j.ceramint.2026.05.088,2-s2.0-105038741481,105038741481,2026,2026-07-01,Ceramics International,02728842,,Article,,Delhi Technological University; Netaji Subhas University of Technology,3,False,https://api.elsevier.com/content/abstract/scopus_id/105038741481,scopus,PENDING,NOT_STARTED,,16,40
"Exceptional enhancement of Curie temperature and half-metallic ferromagnetism induced by Fe doping in XHfSb (X = Rh, Ir) half-Heusler compounds",10.1016/j.cocom.2026.e01269,2-s2.0-105033060099,105033060099,2026,2026-07-01,Computational Condensed Matter,,,Article,,Université Sultan Moulay Slimane,1,False,https://api.elsevier.com/content/abstract/scopus_id/105033060099,scopus,PENDING,NOT_STARTED,,16,41
"Influence of transition-metal doping and co-doping on the electronic properties, magnetic ordering, and Curie temperature in FeVSb half-Heusler alloys",10.1016/j.micrna.2026.208716,2-s2.0-105039214493,105039214493,2026,2026-08-01,Micro and Nanostructures,27730131,,Article,,Université Sultan Moulay Slimane,1,False,https://api.elsevier.com/content/abstract/scopus_id/105039214493,scopus,PENDING,NOT_STARTED,,16,42
Curie Point Depth Distribution in the Tibetan Plateau Based on Wavelet Analysis and Bayesian Inversion of Newly Compiled Aeromagnetic Anomaly Data,10.1029/2025jb033612,2-s2.0-105047195437,105047195437,2026,2026-08-01,Journal of Geophysical Research Solid Earth,21699313,,Article,,China University of Geosciences,0,False,https://api.elsevier.com/content/abstract/scopus_id/105047195437,scopus,PENDING,NOT_STARTED,,16,43
Graphene substrate induced enhancement of magnetic anisotropy and Curie temperature in bilayer CrTe,10.1016/j.jmmm.2026.174384,2-s2.0-105043456398,105043456398,2026,2026-10-01,Journal of Magnetism and Magnetic Materials,03048853,,Article,,Bohai University,0,False,https://api.elsevier.com/content/abstract/scopus_id/105043456398,scopus,PENDING,NOT_STARTED,,16,44
High Curie temperature and piezoelectric response in 2D ferromagnetic semiconductors Fe2B2H6,10.1088/1361-6463/ae71df,2-s2.0-105041793874,105041793874,2026,2026-06-19,Journal of Physics D Applied Physics,00223727,,Article,,Yanshan University,0,False,https://api.elsevier.com/content/abstract/scopus_id/105041793874,scopus,PENDING,NOT_STARTED,,16,45
"High performance lead-free Na0.5Bi0.5Ti0.4Mn0.1O3-BaTi0.4Sn0.1O3 ceramics: Enhanced ferroelectric, dielectric, and pyroelectric properties via NaNbO3 incorporation",10.1016/j.ssc.2026.116463,2-s2.0-105039070615,105039070615,2026,2026-08-01,Solid State Communications,00381098,,Article,,Lakireddy Bali Reddy College of Engineering,0,False,https://api.elsevier.com/content/abstract/scopus_id/105039070615,scopus,PENDING,NOT_STARTED,,16,46
High-throughput screening of two-dimensional ferromagnetic materials with high Curie temperatures,10.1039/d6nr01616b,2-s2.0-105038669714,105038669714,2026,2026-06-11,Nanoscale,20403364,,Article,,University of Science and Technology of China,0,False,https://api.elsevier.com/content/abstract/scopus_id/105038669714,scopus,PENDING,NOT_STARTED,,16,47
NiVCl2 Monolayer: A Robust Topological Nodal Loop Semimetal with a High Curie Temperature,10.1021/acs.jpcc.6c01726,2-s2.0-105040992670,105040992670,2026,2026-06-04,Journal of Physical Chemistry C,19327447,,Article,,Yangzhou University,0,False,https://api.elsevier.com/content/abstract/scopus_id/105040992670,scopus,PENDING,NOT_STARTED,,16,48
Significantly improved Curie temperature in van der Waals Fe3GaTe2 by Li-ion intercalation,10.1063/5.0329939,2-s2.0-105044308817,105044308817,2026,2026-07-07,Journal of Applied Physics,00218979,,Article,,Jingdezhen Ceramic University,0,False,https://api.elsevier.com/content/abstract/scopus_id/105044308817,scopus,PENDING,NOT_STARTED,,16,49
Strain-induced high Curie temperature and perpendicular magnetic anisotropy in a 2D ferromagnetic FePd2Te2 monolayer,10.1039/d6cp02009g,2-s2.0-105044556718,105044556718,2026,2026-07-29,Physical Chemistry Chemical Physics,14639076,,Article,,Shandong University,0,False,https://api.elsevier.com/content/abstract/scopus_id/105044556718,scopus,PENDING,NOT_STARTED,,16,50
Structural asymmetry induced high Curie temperature and large out-of-plane piezoelectricity in Gd2COF MXenes and Gd2COF/MoS2 heterostructure,10.1088/1674-1056/ae815f,2-s2.0-105045699189,105045699189,2026,2026-07-01,Chinese Physics B,16741056,,Article,,Huzhou College,0,False,https://api.elsevier.com/content/abstract/scopus_id/105045699189,scopus,PENDING,NOT_STARTED,,16,51
Theoretical insight into the unique dual roles of Li doping in switching magnetic anisotropy and enhancing Curie temperature in CoCl3 monolayers,10.1039/d5cp03660g,2-s2.0-105041988586,105041988586,2026,2026-07-08,Physical Chemistry Chemical Physics,14639076,,Article,,University of Jinan,0,False,https://api.elsevier.com/content/abstract/scopus_id/105041988586,scopus,PENDING,NOT_STARTED,,16,52
Thermal Structure of the Icelandic Crust From Curie Point Depth,10.1029/2024jb030552,2-s2.0-105045934669,105045934669,2026,2026-07-01,Journal of Geophysical Research Solid Earth,21699313,,Article,,China University of Geosciences,0,False,https://api.elsevier.com/content/abstract/scopus_id/105045934669,scopus,PENDING,NOT_STARTED,,16,53
Two-dimensional pentagonal CrSSe monolayer: A fully spin-polarized semiconductor with electrically tunable Curie temperature,10.1016/j.ssc.2026.116460,2-s2.0-105038952641,105038952641,2026,2026-07-01,Solid State Communications,00381098,,Article,,Hebei Normal University,0,False,https://api.elsevier.com/content/abstract/scopus_id/105038952641,scopus,PENDING,NOT_STARTED,,16,54
Unearthing VSi2N4 in the MA2Z4 Family: A Material with High Curie Temperature and Superior Thermal Transport,10.1021/acs.jpcc.6c02642,2-s2.0-105040913201,105040913201,2026,2026-06-04,Journal of Physical Chemistry C,19327447,,Article,,Xiangtan University,0,False,https://api.elsevier.com/content/abstract/scopus_id/105040913201,scopus,PENDING,NOT_STARTED,,16,55
Chiral Dion-Jacobson Silver/Antimony-Based Double Perovskite Ferroelectrics Enable Ultralow Dose n-Type X-Ray Detection,10.1002/adfm.76174,2-s2.0-105040113925,105040113925,2026,2026-06-25,Advanced Functional Materials,1616301X,,Article,,Jiangxi University of Science and Technology; Jinling Institute of Technology,2,False,https://api.elsevier.com/content/abstract/scopus_id/105040113925,scopus,PENDING,NOT_STARTED,,15,56
Hybrid magnetic skyrmions with near-zero Hall angle and electrical switchability in a 2D multiferroic,10.1038/s41524-026-02030-z,2-s2.0-105035865349,105035865349,2026,2026-12-01,Npj Computational Materials,,,Article,,State Key Laboratory of Solidification Processing,0,True,https://api.elsevier.com/content/abstract/scopus_id/105035865349,scopus,PENDING,NOT_STARTED,,15,57
"Structural evolution, broadband dielectric relaxation, and microwave properties of (1−x)La(Mg1/2Ti1/2)O3-xBa(Ga1/2Nb1/2)O3 Complex perovskite ceramics: A preliminary composition study( x=0.2 and x=0.4)",10.1016/j.physb.2026.419075,2-s2.0-105045218955,105045218955,2026,2026-10-15,Physica B Condensed Matter,09214526,,Article,,Bose Institute,0,False,https://api.elsevier.com/content/abstract/scopus_id/105045218955,scopus,PENDING,NOT_STARTED,,15,58
Unveiling the dual bandgap structure and multiferroic coupling in KBiFe2O5: a combined experimental and first-principles investigation,10.1038/s41427-026-00655-6,2-s2.0-105043763628,105043763628,2026,2026-12-01,Npg Asia Materials,18844049,,Article,,Fujian Normal University; Fujian Provincial Engineering Technology Research Center of Solar Energy Conversion and Energy Storage,0,True,https://api.elsevier.com/content/abstract/scopus_id/105043763628,scopus,PENDING,NOT_STARTED,,15,59
Magnetic transition and magnetocaloric properties in Tm2FeAl3 compound,10.1016/j.jmmm.2026.174110,2-s2.0-105035258203,105035258203,2026,2026-06-15,Journal of Magnetism and Magnetic Materials,03048853,,Article,,Hangzhou Dianzi University,19,False,https://api.elsevier.com/content/abstract/scopus_id/105035258203,scopus,PENDING,NOT_STARTED,,14,60
Adding 161Dy-Mössbauer spectroscopy to a multitechnique investigation of magnetic transitions in a {CoIII3DyIII3} Single-Molecule Toroic,10.1038/s41467-026-71058-y,2-s2.0-105037425850,105037425850,2026,2026-12-01,Nature Communications,,,Article,,Karlsruher Institut für Technologie; Jiangxi University of Science and Technology,1,True,https://api.elsevier.com/content/abstract/scopus_id/105037425850,scopus,PENDING,NOT_STARTED,,14,61
Dielectric relaxation mechanisms and conductivity behavior around the magnetic phase transition region in the Bi4.2La0.8Fe0.5Co0.5Ti3O15 multiferroic system,10.1016/j.jpcs.2026.113677,2-s2.0-105034583001,105034583001,2026,2026-07-01,Journal of Physics and Chemistry of Solids,00223697,,Article,,Universidade Federal de Uberlândia; Universidad de La Habana,1,False,https://api.elsevier.com/content/abstract/scopus_id/105034583001,scopus,PENDING,NOT_STARTED,,14,62
Emergent Chaos-Like Dynamics of Spin–Orbit-Torque-Driven Magnetic Transitions,10.1002/smll.73778,2-s2.0-105038898457,105038898457,2026,2026-07-02,Small,16136810,,Article,,Max Born Institute,1,True,https://api.elsevier.com/content/abstract/scopus_id/105038898457,scopus,PENDING,NOT_STARTED,,14,63
Parallel alignment of electric and magnetic transition dipole moments in chiral additives can boost the oxygen evolution reaction,10.1038/s42004-026-02042-2,2-s2.0-105043491320,105043491320,2026,2026-12-01,Communications Chemistry,,,Article,,Universidade de Vigo,1,True,https://api.elsevier.com/content/abstract/scopus_id/105043491320,scopus,PENDING,NOT_STARTED,,14,64
Photovoltaic effect based on depolarization field and Schottky interface in BaTiO3 ceramics,10.1557/s43578-026-01865-y,2-s2.0-105040510288,105040510288,2026,2026-07-30,Journal of Materials Research,08842914,,Article,,Shandong University; State Key Laboratory of Crystal Materials,1,False,https://api.elsevier.com/content/abstract/scopus_id/105040510288,scopus,PENDING,NOT_STARTED,,14,65
3D-printed honeycomb-structured BaTiO3-based PTC ceramics formed by digital light processing for the thermal management of hydrogen fuel cells,10.1039/d6ta03226e,2-s2.0-105041494115,105041494115,2026,2026-07-16,Journal of Materials Chemistry A,20507488,,Article,,Huazhong University of Science and Technology,0,False,https://api.elsevier.com/content/abstract/scopus_id/105041494115,scopus,PENDING,NOT_STARTED,,14,66
"Bond-length-driven magnetic transition in quasi-one-dimensional CrSbX3 (X = S, Se)",10.1088/1361-648x/ae8636,2-s2.0-105045645718,105045645718,2026,2026-07-17,Journal of Physics Condensed Matter,09538984,,Article,,Korea University,0,True,https://api.elsevier.com/content/abstract/scopus_id/105045645718,scopus,PENDING,NOT_STARTED,,14,67
Coexistence of successive antiferromagnetic transitions and spin frustration in triangular-lattice antiferromagnet Ba3CoNb2O9 single crystal,10.1088/1361-648x/ae7887,2-s2.0-105042137321,105042137321,2026,2026-06-19,Journal of Physics Condensed Matter,09538984,,Article,,Anhui Medical University,0,True,https://api.elsevier.com/content/abstract/scopus_id/105042137321,scopus,PENDING,NOT_STARTED,,14,68
Domain engineering via AlN compositing in high-entropy ferroelectric ceramics for synergistic electro-thermal regulation,10.1039/d6ta02282k,2-s2.0-105038983174,105038983174,2026,2026-06-23,Journal of Materials Chemistry A,20507488,,Article,,Nanjing University,0,False,https://api.elsevier.com/content/abstract/scopus_id/105038983174,scopus,PENDING,NOT_STARTED,,14,69
Effect of CaTiO3 doping on energy storage performance of (1-x)BNBT-xCTi relaxor ferroelectric ceramics,10.1016/j.matlet.2026.141106,2-s2.0-105042915801,105042915801,2026,2026-10-01,Materials Letters,0167577X,,Article,,Xi'an University of Technology,0,False,https://api.elsevier.com/content/abstract/scopus_id/105042915801,scopus,PENDING,NOT_STARTED,,14,70
Engineering the magnetic transition and enhancing the magnetocaloric effect in copper-tin co-substituted strontium hexaferrites,10.1016/j.ceramint.2026.05.436,2-s2.0-105040716267,105040716267,2026,2026-07-01,Ceramics International,02728842,,Article,,Faculté des Sciences de Sfax,0,False,https://api.elsevier.com/content/abstract/scopus_id/105040716267,scopus,PENDING,NOT_STARTED,,14,71
Enhanced Temperature Stability of Bismuth-Layered Ceramics’ Piezoelectric Properties via Ferroelectric Domain Dynamics,10.1111/ijac.70265,2-s2.0-105047666666,105047666666,2026,2026-08-01,International Journal of Applied Ceramic Technology,1546542X,,Article,,Wenhua College,0,False,https://api.elsevier.com/content/abstract/scopus_id/105047666666,scopus,PENDING,NOT_STARTED,,14,72
High-Entropy Design of Perovskite Quantum Paraelectrics with Improved Dielectric Properties in GHz and THz Bands,10.1021/acsami.6c04586,2-s2.0-105043533833,105043533833,2026,2026-07-01,ACS Applied Materials and Interfaces,19448244,,Article,,Queen Mary University of London,0,True,https://api.elsevier.com/content/abstract/scopus_id/105043533833,scopus,PENDING,NOT_STARTED,,14,73
Low Temperature Complex Magnetic and Dielectric Studies on Al3+ substituted GaFeO3 Multiferroic Solid Solutions,10.1007/s10948-026-07228-2,2-s2.0-105046501337,105046501337,2026,2026-08-01,Journal of Superconductivity and Novel Magnetism,15571939,,Article,,Bangalore University,0,False,https://api.elsevier.com/content/abstract/scopus_id/105046501337,scopus,PENDING,NOT_STARTED,,14,74
Magnetic transitions and pressure effects in the Heusler compound Fe3−xMnxSi,10.1016/j.jallcom.2026.190442,2-s2.0-105047806689,105047806689,2026,2026-09-25,Journal of Alloys and Compounds,09258388,,Article,,Kagoshima University,0,True,https://api.elsevier.com/content/abstract/scopus_id/105047806689,scopus,PENDING,NOT_STARTED,,14,75
